,Placement,Team,Score,TitleEligibile,Year,Event,Date,Division
9,,Troy Mool & Fuze,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
10,,Kris Notter & Rokit,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
11,,Scott Crump & Jade,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
12,,Chris Knapp & Macho,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
13,,Dennis Hunt & G2,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
14,,Mark Reinhold & Shiner,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
15,,Adrian Custer & Valkerie,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
16,,Chris Knapp & Marino,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
17,,Jeff Keele & Sawyer,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
18,,Kris Notter & Hank,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
19,,Troy Mool & Paizley,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
20,,Mark Reinhold & Salty,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
21,,Dean Shavit & Billy Jean,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
22,,Troy Mool & Jazmin,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
23,,Chris Knapp & Shaka,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,MicroDog (Women's)
0,1*,Marla Conley & Dorothy,57.8,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
1,2,Barb Reinhold & Happy,55.6,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
2,3,Barb Reinhold & Salty,54.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
3,4,Barb Reinhold & Whips,49.3,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
4,5,Barb Reinhold & Dibs,48.6,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
5,6,Jessica Wilmes & Senka,46.1,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
6,7,Nikki Penta & Fury,46.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
7,8,Nikki Penta & Phobia,44.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
8,9,Jessica Wilmes & Indy,42.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
9,10,Taylor Justice & Kiwi,39.9,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
10,11,Taylor Justice & Bubbles,37.2,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
11,12,Barb Reinhold & Rue,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
12,12,Barb Reinhold & Shiner,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
13,12,Jessica Hunt & Cannon,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
14,12,Taylor Justice & Firefox,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
15,12,Taylor Justice & Merlin,0.0,,2020,"Gray Summit, Missouri (Indoor)",2/23/2020,Unlimited Plastic (Women's)
0,1*,David Torres & Dante,172.0,XQ-MCP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
1,2,Ivan Lopez & Ross,132.7,XQ-MCP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
2,3,Luis Melano & Drago,127.1,XQ-MCP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
3,4,Fernando Torino & Argos,115.8,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
4,5,Nahuel Oviedo & Pepita,108.9,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
5,6,Walter Gomez & Jetty,105.1,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
6,7,Sebastian Cester & Hugo,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
7,7,Ivan Lopez & Riley,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
8,7,Fernando Torino & Eywa,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Men's)
0,1*,Maria Molina & Gitana,156.8,XQ-WCP Expert,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Women's)
1,2,Sofia Aguerri & Milka,145.9,XQ-WCP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Women's)
2,3,Laura Stagnaro & Morocha,133.7,XQ-WCP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Women's)
3,4,Laura Stagnaro & Wind,118.9,XQ-WCP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Women's)
4,5,Melisa Maldonado & Toni,99.0,XQ-WCP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Women's)
5,6,Julieta Da Silva & Mila,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Classic Plastic (Women's)
0,1,Nahuel Oviedo & Pepita,157.0,XQ-MLP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
1,2*,Walter Gomez & Jetty,133.7,XQ-MLP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
2,3,Sebastian Cester & Hugo,120.9,XQ-MLP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
3,4,Fernando Torino & Argos,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
4,4,Fernando Torino & Eywa,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
5,4,Luis Melano & Drago,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
6,4,David Torres & Dante,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Men's)
0,1,Maria Molina & Gitana,185.0,XQ-WLP Elite,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Women's)
1,2*,Laura Stagnaro & Wind,147.3,XQ-WLP Expert,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Women's)
2,3,Laura Stagnaro & Morocha,144.9,XQ-WLP Expert,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Women's)
3,4,Sofia Aguerri & Milka,129.1,XQ-WLP Expert,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Women's)
4,5,Julieta Da Silva & Mila,112.9,XQ-WLP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Light Plastic (Women's)
0,1*,German Roitbarg & Rocco,1242.0,XQ-MM Elite,2020,"Buenos Aires, Argentina",12/22/2019,MicroDog (Men's)
0,1*,David Torres & Dante,187.7,XQ-MUP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
1,2,Luis Melano & Drago,163.1,XQ-MUP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
2,3,Nahuel Oviedo & Pepita,154.1,XQ-MUP Basic,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
3,4,Ivan Lopez & Ross,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
4,4,Ivan Lopez & Riley,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
5,4,Fernando Torino & Argos,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
6,4,Fernando Torino & Eywa,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
7,4,Walter Gomez & Jetty,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
8,4,Sebastian Cester & Hugo,0.0,,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Men's)
0,1*,Maria Molina & Gitana,185.0,XQ-WUP Elite,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Women's)
1,2,Julieta Da Silva & Mila,155.5,XQ-WUP Expert,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Women's)
2,3,Sofia Aguerri & Milka,134.0,XQ-WUP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Women's)
3,4,Laura Stagnaro & Wind,126.1,XQ-WUP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Women's)
4,5,Laura Stagnaro & Morocha,124.5,XQ-WUP Advanced,2020,"Buenos Aires, Argentina",12/22/2019,Unlimited Plastic (Women's)
0,1*,Albert Testar & Rivet,172.7,XQ-MCP Basic,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
1,2,Albert Testar & Darci Lynne,171.0,XQ-MCP Basic,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
2,3,Albert Testar & Tanner,169.2,XQ-MCP Basic,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
3,4,Todd Queen & Tanner,160.2,XQ-MCP Basic,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
4,5,Frank Montgomery & Jagger,159.8,XQ-MCP Basic,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
5,6,Doug Kurucz & Nikita,123.5,XQ-MCP Basic,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
6,7,Frank Montgomery & Chicklet,0.0,,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
7,7,Albert Testar & Tugger McGruff,0.0,,2020," Millersville, MD",11/9/2019,Classic Plastic (Men's)
0,1*,Stephanie Carbaugh & Jinx,160.4,XQ-WCP Expert,2020," Millersville, MD",11/9/2019,Classic Plastic (Women's)
1,2,Stephanie Carbaugh & Rivet,152.1,XQ-WCP Expert,2020," Millersville, MD",11/9/2019,Classic Plastic (Women's)
2,3,Stephanie Carbaugh & Payton,139.4,XQ-WCP Advanced,2020," Millersville, MD",11/9/2019,Classic Plastic (Women's)
3,4,Criss Brown & Riot,126.0,XQ-WCP Advanced,2020," Millersville, MD",11/9/2019,Classic Plastic (Women's)
4,4,Stephanie Carbaugh & Quiz,126.0,XQ-WCP Advanced,2020," Millersville, MD",11/9/2019,Classic Plastic (Women's)
5,6,Stephanie Carbaugh & Swift,121.7,XQ-WCP Advanced,2020," Millersville, MD",11/9/2019,Classic Plastic (Women's)
0,1,Albert Testar & Tanner,201.5,XQ-MLP Expert,2020," Millersville, MD",11/9/2019,Light Plastic (Men's)
1,2,Albert Testar & Rivet,168.5,XQ-MLP Advanced,2020," Millersville, MD",11/9/2019,Light Plastic (Men's)
2,3,Albert Testar & Darci Lynne,164.6,XQ-MLP Advanced,2020," Millersville, MD",11/9/2019,Light Plastic (Men's)
3,4,Albert Testar & Chester,163.2,XQ-MLP Advanced,2020," Millersville, MD",11/9/2019,Light Plastic (Men's)
4,5*,Frank Montgomery & Jagger,141.5,XQ-MLP Basic,2020," Millersville, MD",11/9/2019,Light Plastic (Men's)
5,6,Doug Kurucz & Nikita,120.3,XQ-MLP Basic,2020," Millersville, MD",11/9/2019,Light Plastic (Men's)
0,1,Stephanie Carbaugh & Rivet,159.0,XQ-WLP Expert,2020," Millersville, MD",11/9/2019,Light Plastic (Women's)
1,2*,Criss Brown & Chester,132.8,XQ-WLP Expert,2020," Millersville, MD",11/9/2019,Light Plastic (Women's)
2,3,Criss Brown & Riot,113.3,XQ-WLP Advanced,2020," Millersville, MD",11/9/2019,Light Plastic (Women's)
3,4,Stephanie Carbaugh & Swift,111.3,XQ-WLP Advanced,2020," Millersville, MD",11/9/2019,Light Plastic (Women's)
4,5,Stephanie Carbaugh & Payton,0.0,,2020," Millersville, MD",11/9/2019,Light Plastic (Women's)
0,1*,Sean Healy & Ranger,181.4,XQ-MM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Men's)
1,2,Albert Testar & Chester,174.3,XQ-MM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Men's)
2,3,Frank Montgomery & Chicklet,153.5,XQ-MM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Men's)
3,4,Frank Montgomery & Bil Boy Blu,0.0,,2020," Millersville, MD",11/9/2019,MicroDog (Men's)
0,1*,Stephanie Carbaugh & Payton,165.8,XQ-WM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Women's)
1,2,Criss Brown & Bil Boy Blu,135.8,XQ-WM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Women's)
2,3,Criss Brown & Chester,112.4,XQ-WM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Women's)
3,4,Criss Brown & Bentley,107.1,XQ-WM Elite,2020," Millersville, MD",11/9/2019,MicroDog (Women's)
0,1*,Albert Testar & Darci Lynne,198.0,XQ-MUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Men's)
1,2,Albert Testar & Rivet,194.6,XQ-MUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Men's)
2,3,Albert Testar & Tanner,189.5,XQ-MUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Men's)
3,4,Todd Queen & Tanner,174.0,XQ-MUP Basic,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Men's)
4,5,Doug Kurucz & Nikita,123.5,,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Men's)
0,1,Stephanie Carbaugh & Rivet,180.3,XQ-WUP Elite,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Women's)
1,2,Stephanie Carbaugh & Payton,156.0,XQ-WUP Expert,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Women's)
2,3,Stephanie Carbaugh & Quiz,135.5,XQ-WUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Women's)
3,4*,Criss Brown & Riot,132.3,XQ-WUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Women's)
4,5,Stephanie Carbaugh & Swift,127.2,XQ-WUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Women's)
5,6,Stephanie Carbaugh & Jinx,122.1,XQ-WUP Advanced,2020," Millersville, MD",11/9/2019,Unlimited Plastic (Women's)
0,1*,Matt Bilderback & Salty,200.0,XQ-MCP Advanced,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
1,2,Mark Reinhold & Salty,181.5,XQ-MCP Advanced,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
2,3,Lucas Croft & Sailor,158.9,XQ-MCP Basic,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
3,4,Vern Bachman & Chuck the Dude,141.9,XQ-MCP Basic,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
4,5,Stephan L & Lexi,72.8,,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
5,6,Lucas Croft & Belle,0.0,,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
6,6,Mark Reinhold & Happy,0.0,,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
7,6,Matt Bilderback & Mambo #5,0.0,,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Men's)
0,1,Barbara Reinhold & Salty,187.3,XQ-WCP Elite,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
1,2,Barbara Reinhold & Happy,156.4,XQ-WCP Expert,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
2,3,Barbara Reinhold & Rue,151.0,XQ-WCP Expert,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
3,4,Barbara Reinhold & Dibs,135.2,XQ-WCP Advanced,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
4,5*,Deneane Hart & Walter,132.5,XQ-WCP Advanced,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
5,6,Deneane Hart & Apex,128.0,XQ-WCP Advanced,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
6,7,Barbara Reinhold & Whip,0.0,,2020,"Detroit, Michigan",10/19/2019,Classic Plastic (Women's)
0,1,Matt Bilderback & Salty,198.1,XQ-MLP Expert,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Men's)
1,2*,Lucas Croft & Sailor,123.5,XQ-MLP Basic,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Men's)
2,3,Lucas Croft & Belle,0.0,,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Men's)
3,3,Matt Bilderback & Mambo #5,0.0,,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Men's)
4,3,Stephan Leuschner & Lexi,0.0,,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Men's)
5,3,Mark Reinhold & Shiner,0.0,,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Men's)
0,1*,Barbara Reinhold & Rue,141.0,XQ-WLP Expert,2020,"Detroit, Michigan",10/19/2019,Light Plastic (Women's)
